,country,code,ethnicity
0,belgium,be,belgian
1,bulgaria,bg,bulgarian
2,czechia,cz,czech
3,denmark,dk,danish
4,germany,de,german
5,estonia,ee,estonian
6,ireland,ie,irish
7,greece,el,greek
8,spain,es,spanish
9,france,fr,french
10,croatia,hr,croatian
11,italy,it,italian
12,cyprus,cy,cypriot
13,latvia,lv,latvian
14,lithuania,lt,lithuanian
15,luxembourg,lu,luxembourgian
16,hungary,hu,hungarian
17,malta,mt,maltese
18,netherlands,nl,dutch
19,austria,at,austrian
20,poland,pl,polish
21,portugal,pt,portuguese
22,romania,ro,romanian
23,slovenia,si,slovenian
24,slovakia,sk,slovak
25,finland,fi,finnish
26,sweden,se,swedish
27,europe,eu,european
