,provider_name,provider_id,id,name,name_list
1291,AdAdvisor by Neustar,106,1231469,grocery > sparkling water > sparkling waters-brand use most-poland spring,"['grocery', 'sparkling water', 'sparkling waters', 'brand use most', 'poland spring']"
2655,AdAdvisor by Neustar,106,6834799,neustar adadvisor > alcohol (restricted to best practices) > beer & ale > purchase beers & ales: new belgium brewery,"['neustar adadvisor', 'alcohol', 'restricted to best practices', 'beer & ale', 'purchase beers & ales', 'new belgium brewery']"
5366,Lotame,422,1750790,tour de france (lotame),"['tour de france', 'lotame']"
6284,Lotame,422,4027735,international_eu - austria all users (lotame),"['international_eu', 'austria all users', 'lotame']"
6285,Lotame,422,4027734,international_eu - austria art & culture (lotame),"['international_eu', 'austria art & culture', 'lotame']"
6286,Lotame,422,4027730,international_eu - austria automobiles (lotame),"['international_eu', 'austria automobiles', 'lotame']"
6287,Lotame,422,4027729,international_eu - austria business (lotame),"['international_eu', 'austria business', 'lotame']"
6288,Lotame,422,4027728,international_eu - austria computers and technology (lotame),"['international_eu', 'austria computers and technology', 'lotame']"
6289,Lotame,422,4027727,international_eu - austria entertainment (lotame),"['international_eu', 'austria entertainment', 'lotame']"
6290,Lotame,422,4027726,international_eu - austria fashion & beauty (lotame),"['international_eu', 'austria fashion & beauty', 'lotame']"
6291,Lotame,422,4027724,international_eu - austria finance (lotame),"['international_eu', 'austria finance', 'lotame']"
6292,Lotame,422,4027721,international_eu - austria food & beverages (lotame),"['international_eu', 'austria food & beverages', 'lotame']"
6293,Lotame,422,4027720,international_eu - austria games and toys (lotame),"['international_eu', 'austria games and toys', 'lotame']"
6294,Lotame,422,4027712,international_eu - austria home & family (lotame),"['international_eu', 'austria home & family', 'lotame']"
6295,Lotame,422,4027711,international_eu - austria job seekers (lotame),"['international_eu', 'austria job seekers', 'lotame']"
6296,Lotame,422,4027709,international_eu - austria movies (lotame),"['international_eu', 'austria movies', 'lotame']"
6297,Lotame,422,4027707,international_eu - austria music (lotame),"['international_eu', 'austria music', 'lotame']"
6298,Lotame,422,4027706,international_eu - austria news (lotame),"['international_eu', 'austria news', 'lotame']"
6299,Lotame,422,4027705,international_eu - austria online games (lotame),"['international_eu', 'austria online games', 'lotame']"
6300,Lotame,422,4027703,international_eu - austria online shopping (lotame),"['international_eu', 'austria online shopping', 'lotame']"
6301,Lotame,422,4027700,international_eu - austria parenting (lotame),"['international_eu', 'austria parenting', 'lotame']"
6302,Lotame,422,4027698,international_eu - austria pop culture & celebrity gossip (lotame),"['international_eu', 'austria pop culture & celebrity gossip', 'lotame']"
6303,Lotame,422,4027697,international_eu - austria real estate (lotame),"['international_eu', 'austria real estate', 'lotame']"
6304,Lotame,422,4027696,international_eu - austria school & education (lotame),"['international_eu', 'austria school & education', 'lotame']"
6305,Lotame,422,4027694,international_eu - austria social media (lotame),"['international_eu', 'austria social media', 'lotame']"
6306,Lotame,422,4027693,international_eu - austria sports (lotame),"['international_eu', 'austria sports', 'lotame']"
6307,Lotame,422,4027690,international_eu - austria television (lotame),"['international_eu', 'austria television', 'lotame']"
6309,Lotame,422,4027686,international_eu - austria video games (lotame),"['international_eu', 'austria video games', 'lotame']"
6310,Lotame,422,2145168,international_eu - belgium all users (lotame),"['international_eu', 'belgium all users', 'lotame']"
6311,Lotame,422,2151658,international_eu - belgium art & culture (lotame),"['international_eu', 'belgium art & culture', 'lotame']"
6312,Lotame,422,2151657,international_eu - belgium automobiles (lotame),"['international_eu', 'belgium automobiles', 'lotame']"
6313,Lotame,422,2151659,international_eu - belgium business (lotame),"['international_eu', 'belgium business', 'lotame']"
6314,Lotame,422,2151656,international_eu - belgium computers and technology (lotame),"['international_eu', 'belgium computers and technology', 'lotame']"
6315,Lotame,422,2151655,international_eu - belgium entertainment (lotame),"['international_eu', 'belgium entertainment', 'lotame']"
6316,Lotame,422,2151654,international_eu - belgium fashion & beauty (lotame),"['international_eu', 'belgium fashion & beauty', 'lotame']"
