,Data Provider Name,Data Provider ID,Segment ID,Segment Name
0,Nielsen Marketing Cloud,39,2332154,consumer targets - custom characteristics (exelate)
1,Nielsen Marketing Cloud,39,161707,test segment 1 - client (exelate)
2,Nielsen Marketing Cloud,39,161709,test segment 2 - client (exelate)
3,Nielsen Marketing Cloud,39,161711,test segment 3 - client (exelate)
4,Datonics,90,6611,finance & money > credit & credit cards (datonics)
5,Datonics,90,6612,finance & money > mortgage (datonics)
6,AdAdvisor by Neustar,106,6255,neustar adadvisor element 001
7,AdAdvisor by Neustar,106,6256,neustar adadvisor element 002
8,AdAdvisor by Neustar,106,6257,neustar adadvisor element 003
9,AdAdvisor by Neustar,106,6258,neustar adadvisor element 004
10,AdAdvisor by Neustar,106,6259,neustar adadvisor element 005
11,AdAdvisor by Neustar,106,6260,neustar adadvisor element 006
12,AdAdvisor by Neustar,106,6261,neustar adadvisor element 007
13,AdAdvisor by Neustar,106,6262,neustar adadvisor element 008
14,AdAdvisor by Neustar,106,6263,neustar adadvisor element 009
15,AdAdvisor by Neustar,106,6264,neustar adadvisor element 010
16,AdAdvisor by Neustar,106,6265,neustar adadvisor element 011
17,AdAdvisor by Neustar,106,6266,neustar adadvisor element 012
18,AdAdvisor by Neustar,106,6267,neustar adadvisor element 013
19,AdAdvisor by Neustar,106,6268,neustar adadvisor element 014
20,AdAdvisor by Neustar,106,6269,neustar adadvisor element 015
21,AdAdvisor by Neustar,106,6270,neustar adadvisor element 016
22,AdAdvisor by Neustar,106,6271,neustar adadvisor element 017
23,AdAdvisor by Neustar,106,6272,neustar adadvisor element 018
24,AdAdvisor by Neustar,106,6273,neustar adadvisor element 019
25,AdAdvisor by Neustar,106,6274,neustar adadvisor element 020
26,AdAdvisor by Neustar,106,6275,neustar adadvisor element 021
27,AdAdvisor by Neustar,106,6276,neustar adadvisor element 022
28,AdAdvisor by Neustar,106,6277,neustar adadvisor element 023
29,AdAdvisor by Neustar,106,6278,neustar adadvisor element 024
30,AdAdvisor by Neustar,106,6279,neustar adadvisor element 025
31,AdAdvisor by Neustar,106,6280,neustar adadvisor element 026
32,AdAdvisor by Neustar,106,6281,neustar adadvisor element 027
33,AdAdvisor by Neustar,106,6282,neustar adadvisor element 028
34,AdAdvisor by Neustar,106,6283,neustar adadvisor element 029
35,AdAdvisor by Neustar,106,6284,neustar adadvisor element 030
36,AdAdvisor by Neustar,106,6285,neustar adadvisor element 031
37,AdAdvisor by Neustar,106,6286,neustar adadvisor element 032
38,AdAdvisor by Neustar,106,6287,neustar adadvisor element 033
39,AdAdvisor by Neustar,106,6288,neustar adadvisor element 034
40,AdAdvisor by Neustar,106,6289,neustar adadvisor element 035
41,AdAdvisor by Neustar,106,6290,neustar adadvisor element 036
42,AdAdvisor by Neustar,106,6291,neustar adadvisor element 037
43,AdAdvisor by Neustar,106,6292,neustar adadvisor element 038
44,AdAdvisor by Neustar,106,6293,neustar adadvisor element 039
45,AdAdvisor by Neustar,106,6294,neustar adadvisor element 040
46,AdAdvisor by Neustar,106,6295,neustar adadvisor element 041
47,AdAdvisor by Neustar,106,6296,neustar adadvisor element 042
48,AdAdvisor by Neustar,106,6297,neustar adadvisor element 043
49,AdAdvisor by Neustar,106,6298,neustar adadvisor element 044
50,AdAdvisor by Neustar,106,6299,neustar adadvisor element 045
51,AdAdvisor by Neustar,106,6300,neustar adadvisor element 046
52,AdAdvisor by Neustar,106,6301,neustar adadvisor element 047
53,AdAdvisor by Neustar,106,6302,neustar adadvisor element 048
