,id,hit,name,countries
611,18206584,(?!environ)mental,custom segments > schober mobile data germany - environmentally conscious customers - gps data,['germany']
595,25039710,(?!environ)mental,gh-nl_gps_xandr_da_specific_demographic_mentality-gemaks-georienteerden_rich,['netherlands']
578,24958210,(?!environ)mental,gh-nl_gps_xandr_da_specific_demographic_mentality-kosmopolieten_rich,['netherlands']
592,25039671,(?!environ)mental,gh-nl_gps_xandr_da_specific_demographic_mentality-moderne-burgerij_rich,['netherlands']
576,24958163,(?!environ)mental,gh-nl_gps_xandr_da_specific_demographic_mentality-nieuwe-conservatieven_rich,['netherlands']
598,25039753,(?!environ)mental,gh-nl_gps_xandr_da_specific_demographic_mentality-opwaarts-mobielen_rich,['netherlands']
601,25039780,(?!environ)mental,gh-nl_gps_xandr_da_specific_demographic_mentality-post-materialisten_rich,['netherlands']
589,25039533,(?!environ)mental,gh-nl_gps_xandr_da_specific_demographic_mentality-traditionele-burgerij_rich,['netherlands']
596,25039736,(?!environ)mental,gh-nl_gps_xandr_da_specific_mentality-gemaks-georienteerden_video,['netherlands']
579,24958233,(?!environ)mental,gh-nl_gps_xandr_da_specific_mentality-kosmopolieten_video,['netherlands']
593,25039676,(?!environ)mental,gh-nl_gps_xandr_da_specific_mentality-moderne-burgerij_video,['netherlands']
580,24958277,(?!environ)mental,gh-nl_gps_xandr_da_specific_mentality-nieuwe-conservatieven_video,['netherlands']
599,25039760,(?!environ)mental,gh-nl_gps_xandr_da_specific_mentality-opwaarts-mobielen_video,['netherlands']
602,25039798,(?!environ)mental,gh-nl_gps_xandr_da_specific_mentality-post-materialisten_video,['netherlands']
590,25039658,(?!environ)mental,gh-nl_gps_xandr_da_specific_mentality-traditionele-burgerij_video,['netherlands']
594,25039682,(?!environ)mental,gh-nl_tmp_xandr_da_specific_demographic_mentality-gemaks-georienteerden_plain,['netherlands']
577,24958209,(?!environ)mental,gh-nl_tmp_xandr_da_specific_demographic_mentality-kosmopolieten_plain,['netherlands']
591,25039661,(?!environ)mental,gh-nl_tmp_xandr_da_specific_demographic_mentality-moderne-burgerij_plain,['netherlands']
575,24958113,(?!environ)mental,gh-nl_tmp_xandr_da_specific_demographic_mentality-nieuwe-conservatieven_plain,['netherlands']
597,25039746,(?!environ)mental,gh-nl_tmp_xandr_da_specific_demographic_mentality-opwaarts-mobielen_plain,['netherlands']
600,25039772,(?!environ)mental,gh-nl_tmp_xandr_da_specific_demographic_mentality-post-materialisten_plain,['netherlands']
588,25039464,(?!environ)mental,gh-nl_tmp_xandr_da_specific_demographic_mentality-traditionele-burgerij_plain,['netherlands']
12,4072934,(?!environ)mental,international_eu - france environmentalism ,['france']
23,4074081,(?!environ)mental,international_eu - germany environmentalism ,['germany']
35,4075097,(?!environ)mental,international_eu - italy environmentalism ,['italy']
48,4070328,(?!environ)mental,international_eu - spain environmentalism ,['spain']
627,26344487,(?!environ)mental,lotame > custom > it > environmentalism,['italy']
159,8267538,(?!environ)mental,"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - green living & environmental issues","['germany', 'france']"
344,15101157,(over)?weight( loss)?,branded data > nordic data resources > denmark > interests > interested in weightloss (power reach) ,['denmark']
202,11155830,(over)?weight( loss)?,branded data > nordic data resources > denmark > interests > interested in weightloss (super target) ,['denmark']
411,15669634,(over)?weight( loss)?,custom segments > adex|germany|gutefrage|interests|healthyliving|weightloss,['germany']
298,13720353,(over)?weight( loss)?,fidall > fr > retailers customers > weightwatchers ,['france']
337,14658346,(over)?weight( loss)?,groupmnordic_nestle_negative_keywords_weight-loss_dk ,['denmark']
11,4072998,(over)?weight( loss)?,international_eu - france dieting and weight loss ,['france']
22,4074148,(over)?weight( loss)?,international_eu - germany dieting and weight loss ,['germany']
34,4075166,(over)?weight( loss)?,international_eu - italy dieting and weight loss ,['italy']
47,4070362,(over)?weight( loss)?,international_eu - spain dieting and weight loss ,['spain']
320,13725276,(over)?weight( loss)?,mobilewalla > es > health & fitness > diet and weight loss ,['spain']
321,13725594,(over)?weight( loss)?,mobilewalla > it > health &amp;  fitness > diet and weight loss  ,['italy']
446,18648965,(over)?weight( loss)?,nielsen france - social - lifestyle - weight loss,['france']
135,8576938,(over)?weight( loss)?,oracle country-specific audiences > france (fr) > hobbies and interests (affinity) > health and fitness > wellness > dieting and weight loss ,['france']
136,8576955,(over)?weight( loss)?,oracle country-specific audiences > germany (de) > hobbies and interests (affinity) > health and fitness > wellness > dieting and weight loss ,['germany']
137,8576972,(over)?weight( loss)?,oracle country-specific audiences > italy (it) > hobbies and interests (affinity) > health and fitness > wellness > dieting and weight loss ,['italy']
138,8577010,(over)?weight( loss)?,oracle country-specific audiences > spain (es) > hobbies and interests (affinity) > health and fitness > wellness > dieting and weight loss ,['spain']
148,8267080,(over)?weight( loss)?,"sharethis - ca, fr, de, uk, au, hk - beauty & fitness - weight loss","['germany', 'france']"
70,1346747,(over)?weight( loss)?,web3_lose-weight-pt ,['portugal']
71,1346748,(over)?weight( loss)?,web3_loseweight-es ,['spain']
495,21130835,(over)?weight( loss)?,xaxisema_xls_weight_health_concern ,['europe']
496,21130836,(over)?weight( loss)?,xaxisema_xls_weight_loss ,['europe']
498,21301533,(over)?weight( loss)?,xaxisfi_warner_bros_weight_loss_eng ,['finland']
497,21301503,(over)?weight( loss)?,xaxisfi_warner_bros_weight_loss_fin ,['finland']
437,18282951,(over)?weight( loss)?,zeotap > italy > purchase intent > weightloss,['italy']
377,2639041,addict,experian fr - mosaic - young active families - addicted to credit and technology with children ,['france']
432,17575932,addict,eyeota - dk ndr - 15 kantar media tns dk - tns gallup lifestyle - workout addict,['denmark']
