,id,hit,name,countries
458,13229124,divorce,adsquare data alliance > fr > demographics > marital status > divorced ,['france']
14,4073729,divorce,international_eu - france relationship status - divorced ,['france']
26,4074651,divorce,international_eu - germany relationship status - divorced ,['germany']
40,4075657,divorce,international_eu - italy relationship status - divorced ,['italy']
56,4071341,divorce,international_eu - spain relationship status - divorced ,['spain']
447,11251793,divorce,"sharethis - ca, fr, de, uk, au, hk - life event - divorce","['germany', 'france']"
73,4708917,divorce,xaxisde_divorce ,['germany']
74,4709353,divorce,xaxisde_divorce_de ,['germany']
476,13722758,pension,gfk > de > financial market services > private pension insurance > 3: high ,['germany']
414,11054077,pension,kbm group - germany - microm data | microm typology  - neighbourhood types | group f: pensioners in simple post-war buildings | common people in tenements,['germany']
415,11054084,pension,kbm group - germany - microm data | microm typology  - neighbourhood types | group f: pensioners in simple post-war buildings | common single pensioners,['germany']
416,11054057,pension,kbm group - germany - microm data | microm typology  - neighbourhood types | group f: pensioners in simple post-war buildings | middle class in older districts,['germany']
477,13724021,pension,nordic data resources > dk > f grey perspectives > f22 minimum pensions ,['denmark']
1452,25421542,shopp(er|ing),adsquare data alliance > at > place visits > by brand > shopping > clothing and accessories > children's apparel > c&a ,['austria']
1516,25422276,shopp(er|ing),adsquare data alliance > at > place visits > by category > shopping > clothing and accessories > children's apparel ,['austria']
1463,25421681,shopp(er|ing),adsquare data alliance > be > place visits > by brand > shopping > clothing and accessories > children's apparel > cks ,['belgium']
1236,13225770,shopp(er|ing),adsquare data alliance > de > interests > shopping > back to school shoppers ,['germany']
570,14740813,shopp(er|ing),adsquare data alliance > de > interests > shopping > seasonal > christmas > christmas shoppers - families with children ,['germany']
1378,25419741,shopp(er|ing),adsquare data alliance > de > place visits > by brand > shopping > clothing and accessories > children's apparel > awg ,['germany']
1391,25419978,shopp(er|ing),adsquare data alliance > de > place visits > by brand > shopping > consumer goods > specialty store > amplifon ,['germany']
1412,25420650,shopp(er|ing),adsquare data alliance > de > place visits > by brand > shopping > consumer goods > specialty store > baby1one ,['germany']
1514,25422265,shopp(er|ing),adsquare data alliance > de > place visits > by category > shopping > clothing and accessories > children's apparel ,['germany']
583,14740955,shopp(er|ing),adsquare data alliance > es > interests > shopping > seasonal > christmas > christmas shoppers - families with children ,['spain']
1444,25421523,shopp(er|ing),adsquare data alliance > es > place visits > by brand > shopping > clothing and accessories > children's apparel > boboli ,['spain']
1482,25421898,shopp(er|ing),adsquare data alliance > es > place visits > by brand > shopping > clothing and accessories > children's apparel > canada house ,['spain']
1658,25424377,shopp(er|ing),adsquare data alliance > es > place visits > by brand > shopping > clothing and accessories > children's apparel > gocco ,['spain']
1716,25425358,shopp(er|ing),adsquare data alliance > es > place visits > by brand > shopping > clothing and accessories > children's apparel > ikks ,['spain']
