,id,hit,name,countries
186,8267534,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - charity & philanthropy","['germany', 'france']"
187,8267535,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - discrimination & identity relations","['germany', 'france']"
188,8267536,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - drug laws & policy","['germany', 'france']"
189,8267537,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - ethics","['germany', 'france']"
190,8267538,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - green living & environmental issues","['germany', 'france']"
191,8267539,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - housing & development","['germany', 'france']"
192,8267540,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - human rights & liberties","['germany', 'france']"
193,8267541,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - immigration policy & border issues","['germany', 'france']"
194,8267542,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - poverty & hunger","['germany', 'france']"
195,8267543,advoca(cy|te),"sharethis - ca, fr, de, uk, au, hk - people & society - social issues & advocacy - privacy issues","['germany', 'france']"
430,18060829,animal ?rights,eyeota - se ndr - 11 interests kantar sifo - interested in: animal rights,['sweden']
319,13715500,conservative,bisnode > se > persona > conservative ,['sweden']
353,3577258,conservative,eyeota - de experian - sociodemographic - consumer typology - conservative values,['germany']
561,22180669,conservative,eyeota - es experian - sociodemographic - automotive segmentation - tv1 - conservatives high status,['spain']
556,21779780,conservative,eyeota - miq - de experian - sociodemographic - consumer typology - conservative values,['germany']
246,11053918,conservative,kbm group - germany - microm data | microm cars and mobility | car owner typology | conservative lower middle-class driver,['germany']
247,11053934,conservative,kbm group - germany - microm data | microm geo milieus | established conservative milieu,['germany']
321,13724596,conservative,schober > de > b2c > demography > conservative retiree ,['germany']
325,13724911,conservative,schober > de > b2c > fundraising > conservative values ,['germany']
528,21273629,corona,affectv_neg_corona_death_dell_de ,['germany']
527,21273571,corona,affectv_neg_corona_death_dell_fr ,['france']
517,21220995,covid,xaxisfi_neg_covid19death ,['finland']
