,id,hit,name,countries
117,24625150, faith,lifestyle > faith > uk & portugal christianity - extended scale ,['portugal']
116,24625040, faith,lifestyle > faith > uk & portugal christianity - extreme confidence ,['portugal']
7,967329, jew,sekindo_jewishfrench ,['france']
103,19503520,catholic,mbbmedia_fr_catholicism ,['france']
130,19266320,church,custom segments > schober b2b mobile data germany - churches and religious groups - 1st and 2nd management level - gps data,['germany']
40,11507350,religio(n|ous),180bytwo > b2c > web > religion > greek orthodox,['greece']
24,9899640,religio(n|ous),180bytwo > cookie > b2c > religion > greek orthodox,['greece']
21,8013244,religio(n|ous),branded data > nordic data resources > sweden > super target > interests > religion ,['sweden']
27,9910923,religio(n|ous),businesswatch network > b2c > religion > greek orthodox,['greece']
84,15669666,religio(n|ous),custom segments > adex|germany|gutefrage|interests|religionandspirituality,['germany']
91,18502938,religio(n|ous),datastream group>religion>greek orthodox,['greece']
22,10047331,religio(n|ous),epsilon: demographics > religion > greek orthodox,['greece']
25,9900856,religio(n|ous),infogroup > b2c > demographics > religion > greek orthodox,['greece']
93,19030810,religio(n|ous),mbbmedia_fr_religion_theologie ,['france']
4,617510,religio(n|ous),mediaiq_gs_french_religion ,['france']
10,8065581,religio(n|ous),nike_nike_religion_kwb_de ,['germany']
13,8066027,religio(n|ous),nike_nike_religion_kwb_dk ,['denmark']
9,8057313,religio(n|ous),nike_nike_religion_kwb_es ,['spain']
14,8066028,religio(n|ous),nike_nike_religion_kwb_fi ,['finland']
8,8057296,religio(n|ous),nike_nike_religion_kwb_fr ,['france']
11,8065600,religio(n|ous),nike_nike_religion_kwb_it ,['italy']
12,8065764,religio(n|ous),nike_nike_religion_kwb_nl ,['netherlands']
15,8066030,religio(n|ous),nike_nike_religion_kwb_se ,['sweden']
135,25995893,religio(n|ous),skydeo > demographics > religion > greek orthodox,['greece']
75,13889597,religio(n|ous),truoptik>webbula>demographics>religion > greek orthodox,['greece']
26,9905053,religio(n|ous),webbula > demographic > individual > religion > greek orthodox,['greece']
6,2137230,religio(n|ous),xaxisema_gs_religion ,['europe']
33,11156468,spiritual,"branded data > nordic data resources > denmark > interests > interested in spiritual, religious (super target) ",['denmark']
83,15731819,spiritual,"eyeota - dk ndr - 08 interests - interested in spiritual, religious ",['denmark']
94,19037820,spiritual,eyeota - fi ndr - insight360 - values360 - 3 spiritual and religious well-doers,['finland']
87,18050935,spiritual,signals > it > lovers > spiritualita,['italy']
