,id,hit,name,countries
22,3476214, porn ,xaxisro_ro_porn ,['romania']
191,13226793,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 18+ ,['germany']
195,13226797,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 18-24 ,['germany']
211,13226800,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 21-34 ,['germany']
219,13226801,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 25-34 ,['germany']
235,13226806,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 35-54 ,['germany']
243,13226808,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 45-54 ,['germany']
250,13226813,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 65+ ,['germany']
261,13226744,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 18-24 ,['germany']
278,13226788,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 21-34 ,['germany']
285,13226758,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 25-34 ,['germany']
91,13602356,gender,adsquare data alliance > fr > demographics > age & gender (nielsen dar validated) > female > female 13+ ,['france']
251,24965389,gender,adsquare data alliance > fr > demographics > age & gender (nielsen dar validated) > female > female 65+ ,['france']
90,13602353,gender,adsquare data alliance > fr > demographics > age & gender (nielsen dar validated) > male > male 13+ ,['france']
317,13229327,gender,adsquare data alliance > fr > demographics > age & gender (nielsen dar validated) > male > male 65+ ,['france']
194,13229523,gender,adsquare data alliance > it > demographics > age & gender (nielsen dar validated) > female 18-24 ,['italy']
252,24965425,gender,adsquare data alliance > it > demographics > age & gender (nielsen dar validated) > female 65+ ,['italy']
318,13229509,gender,adsquare data alliance > it > demographics > age & gender (nielsen dar validated) > male 65+ ,['italy']
114,13715733,gender,conexance > fr > demographics > gender > presence of a man on the household ,['france']
113,13715684,gender,conexance > fr > demographics > gender > presence of a woman on the household ,['france']
141,17624474,gender,mbbmedia_fr_lgbt_transgender_famous ,['france']
17,3438433,gender,xaxisema_diesel_gender_equality_english ,['europe']
18,3438610,gender,xaxisema_diesel_gender_equality_french ,"['france', 'europe']"
19,3438611,gender,xaxisema_diesel_gender_equality_german ,"['germany', 'europe']"
20,3438601,gender,xaxisema_diesel_gender_equality_italian ,"['italy', 'europe']"
182,23341206,lgbt,mbbmedia_fr_cinema_lgbt ,['france']
144,17624485,lgbt,mbbmedia_fr_lgbt_events ,['france']
140,17624472,lgbt,mbbmedia_fr_lgbt_gays_famous ,['france']
145,18355215,lgbt,mbbmedia_fr_lgbt_general ,['france']
139,17624471,lgbt,mbbmedia_fr_lgbt_lesbians_famous ,['france']
142,17624481,lgbt,mbbmedia_fr_lgbt_movies ,['france']
143,17624483,lgbt,mbbmedia_fr_lgbt_parisian_places ,['france']
75,11422101,lgbt,xaxisbel_lgbtq_fr ,"['belgium', 'france']"
116,13999984,lgbt,xaxisde_lgbt_absolut ,['germany']
161,20243998,lgbt,zeotap > spain > interest > lgbt,['spain']
149,19531400,queer,mbbmedia_fr_queer ,['france']
115,13717427,sex,fidall > fr > retailers customers > sexy center ,['france']
16,617513,sex,mediaiq_gs_french_sexuality ,['france']
21,2137232,sex,xaxisema_gs_sexuality ,['europe']
