,id,hit,name,countries
623,17936616, credit ?(level|score|crunched)?,1030687_wtx_el_paso_first_light_federal_credit_union_checking_hlm+ ,['greece']
622,17928786, credit ?(level|score|crunched)?,1030687_wtx_el_paso_first_light_federal_credit_union_checking_tls,['greece']
322,11179567, credit ?(level|score|crunched)?,331089a_wtx_el_paso_one_source_fed_credit_unio_hlm ,['greece']
589,17194428, credit ?(level|score|crunched)?,891001_wtx_el_paso_first_light_federal_credit_union_checking_hlm ,['greece']
585,17191409, credit ?(level|score|crunched)?,891001_wtx_el_paso_first_light_federal_credit_union_checking_tls,['greece']
873,24958146, credit ?(level|score|crunched)?,adsquare data alliance > de > covid-19 audiences (corona pandemic) > covid-19 personal finance  > credit loan seekers ,['germany']
865,24951914, credit ?(level|score|crunched)?,adsquare data alliance > de > place visits  > businesses and services > financial > banks & credit unions > bank ,['germany']
872,24956613, credit ?(level|score|crunched)?,adsquare data alliance > de > place visits  > businesses and services > financial > banks & credit unions > commerzbank ,['germany']
866,24951924, credit ?(level|score|crunched)?,adsquare data alliance > es > place visits > businesses and services > financial > banks & credit unions > bank ,['spain']
871,24953584, credit ?(level|score|crunched)?,adsquare data alliance > es > place visits > businesses and services > financial > banks & credit unions > caja rural de navarra ,['spain']
904,25422799, credit ?(level|score|crunched)?,adsquare data alliance > fr > place visits > by brand > business and services > atm > atm > credit cooperatif ,['france']
909,25422804, credit ?(level|score|crunched)?,adsquare data alliance > fr > place visits > by brand > business and services > atm > atm > credit du nord ,['france']
906,25422801, credit ?(level|score|crunched)?,adsquare data alliance > fr > place visits > by brand > business and services > atm > atm > credit maritime ,['france']
907,25422802, credit ?(level|score|crunched)?,adsquare data alliance > fr > place visits > by brand > business and services > atm > atm > credit mutuel ,['france']
903,25422798, credit ?(level|score|crunched)?,adsquare data alliance > fr > place visits > by brand > business and services > banking > bank > credit agricole ,['france']
905,25422800, credit ?(level|score|crunched)?,adsquare data alliance > fr > place visits > by brand > business and services > banking > bank > credit foncier ,['france']
908,25422803, credit ?(level|score|crunched)?,adsquare data alliance > fr > place visits > by brand > business and services > banking > bank > credit mutuel de bretagne ,['france']
874,24966091, credit ?(level|score|crunched)?,adsquare data alliance > it > place visits > businesses and services > financial > banks & credit unions > fineco ,['italy']
890,24968011, credit ?(level|score|crunched)?,adsquare data alliance > it > place visits > businesses and services > financial > banks & credit unions > unicredit banca ,['italy']
891,24968012, credit ?(level|score|crunched)?,adsquare data alliance > it > place visits > businesses and services > financial > banks & credit unions > unicredit banca di roma ,['italy']
899,25421573, credit ?(level|score|crunched)?,adsquare data alliance > it > place visits > by brand > business and services > banking > bank > cariparma credit agricole ,['italy']
910,25423772, credit ?(level|score|crunched)?,adsquare data alliance > it > place visits > by brand > business and services > banking > bank > friuladria credit agricole ,['italy']
368,13714487, credit ?(level|score|crunched)?,az direct > de > az target groups > finance > credit card ,['germany']
375,13715189, credit ?(level|score|crunched)?,az direct > de > az target groups > finance > installment credit ,['germany']
226,8100057, credit ?(level|score|crunched)?,branded data > affinity answers > brands > financial services > credit agricole france ,['france']
222,8012563, credit ?(level|score|crunched)?,branded data > nordic data resources > denmark > super target > loans & pensions > loans & credit ,['denmark']
625,18302627, credit ?(level|score|crunched)?,data owners > experian it > online behaviors > credit card owners,['italy']
