,id,hit,name,countries
225,15112387, native,tradespottinges_es_plusultra_spain_native ,['spain']
6,7971093, native,varickm_nhtsa_2017_native_spanish ,['spain']
180,13719191,african,fidall > fr > airlines frequent flyers > south african airways ,['france']
0,4073669,arabic,international_eu - france browser language - arabic ,['france']
1,4074598,arabic,international_eu - germany browser language - arabic ,['germany']
2,4075597,arabic,international_eu - italy browser language - arabic ,['italy']
3,4071202,arabic,international_eu - spain browser language - arabic ,['spain']
348,19259078,arabic,mbbmedia_fr_music_arabic ,['france']
347,18649308,arabic,xaxisema_lbs_prosp_jul2019_arabic ,['europe']
162,11792915,arabic,zeotap > italy > demographics > language: arabic,['italy']
163,11794695,arabic,zeotap > italy > interest > arabic ,['italy']
168,13714712,asian,az direct > de > automotive > car ownership > by manufacturer > asian manufacturers > high share ,['germany']
165,13714071,asian,az direct > de > automotive > car ownership > by manufacturer > asian manufacturers > low share ,['germany']
167,13714604,asian,az direct > de > automotive > car ownership > by manufacturer > asian manufacturers > medium share ,['germany']
169,13715105,asian,az direct > de > automotive > car ownership > by manufacturer > asian manufacturers > no cars of asian manufacturers ,['germany']
166,13714296,asian,az direct > de > automotive > car ownership > by manufacturer > asian manufacturers > very high share ,['germany']
170,13715139,asian,az direct > de > automotive > car ownership > by manufacturer > asian manufacturers > very low share ,['germany']
228,8614344,asian,experian fr - auto - manufacturer - asian ,['france']
178,13718797,asian,fidall > fr > airlines frequent flyers > asiana airlines club diamond ,['france']
183,13719451,asian,fidall > fr > airlines frequent flyers > asiana airlines club diamond plus ,['france']
179,13718957,asian,fidall > fr > airlines frequent flyers > asiana airlines club gold ,['france']
176,13718644,asian,fidall > fr > airlines frequent flyers > asiana airlines club platinum ,['france']
181,13719194,asian,fidall > fr > airlines frequent flyers > asiana airlines club silver ,['france']
380,23710623,asian,mbbmedia_fr_cinema_action_asian_films ,['france']
221,14743348,asian,mbbmedia_fr_music_asianpop ,['france']
222,14743350,asian,mbbmedia_fr_music_pop_asian ,['france']
