,id,hit,name,countries
475,13722482, lov(e|ing) ,fidall > fr > lingerie buyers > love city ,['france']
458,13229124,divorce,adsquare data alliance > fr > demographics > marital status > divorced ,['france']
14,4073729,divorce,international_eu - france relationship status - divorced ,['france']
26,4074651,divorce,international_eu - germany relationship status - divorced ,['germany']
40,4075657,divorce,international_eu - italy relationship status - divorced ,['italy']
56,4071341,divorce,international_eu - spain relationship status - divorced ,['spain']
447,11251793,divorce,"sharethis - ca, fr, de, uk, au, hk - life event - divorce","['germany', 'france']"
73,4708917,divorce,xaxisde_divorce ,['germany']
74,4709353,divorce,xaxisde_divorce_de ,['germany']
993,21019093,dog ?owner,eyeota - dk ndr - 15 kantar media tns dk - tns gallup pets - dog owners,['denmark']
994,21019211,dog ?owner,eyeota - fi ndr - 21 kantar mind - kantar mind pets - kantar dog owners,['finland']
999,21025653,dog ?owner,eyeota - se ndr - 18 kantar media tgi se - orvesto pets - dog owners,['sweden']
474,13721025,dreams,fidall > fr > hi tech product buyers > virtual dreams ,['france']
1809,25512820,dreams,plistapoland_wm_ikea_affordable_dreams_02_2021 ,['poland']
769,17630804,hipster,mbbmedia_fr_culture_humorists_hipsters ,['france']
407,11212880,hipster,mbbmedia_fr_music_electro_hipster ,['france']
401,11207672,hipster,mbbmedia_fr_music_pop_hipster ,['france']
403,11207710,hipster,mbbmedia_fr_music_pop_hipster_frenchartists ,['france']
402,11207698,hipster,mbbmedia_fr_music_pop_hipster_internationalartists ,['france']
405,11208388,hipster,mbbmedia_fr_music_rap-hiphop_newschool_hipster_esartists ,['france']
404,11208377,hipster,mbbmedia_fr_music_rap-hiphop_newschool_hipster_usartists ,['france']
657,15280746,hipster,xaxisbel_gs_predicts_hipsters_rule ,['belgium']
662,15285769,hipster,xaxisde_gs_predicts_hipsters_rule ,['germany']
348,11014774,hipster,xaxisdk_gs_predicts_hipsters_rule ,['denmark']
347,11014702,hipster,xaxises_gs_predicts_hipsters_rule ,['spain']
349,11042147,hipster,xaxispt_gs_predicts_hipsters_rule ,['portugal']
654,15277853,hipster,xaxisro_gs_predicts_hipsters_rule ,['romania']
611,15101105,pension,branded data > nordic data resources > denmark > economy > employment > pensioner (power reach) ,['denmark']
391,11156212,pension,branded data > nordic data resources > denmark > economy > employment > pensioner (super target) ,['denmark']
371,11154752,pension,branded data > nordic data resources > denmark > online mosaic > new 2017 mosaic > (k) the quiet pensioner ,['denmark']
130,8011079,pension,branded data > nordic data resources > denmark > super target > loans & pensions ,['denmark']
136,8012563,pension,branded data > nordic data resources > denmark > super target > loans & pensions > loans & credit ,['denmark']
135,8012560,pension,branded data > nordic data resources > denmark > super target > loans & pensions > pensions & savings ,['denmark']
380,11155529,pension,branded data > nordic data resources > finland > family type > pension-age (65- yrs) ,['finland']
139,8013379,pension,branded data > nordic data resources > finland > super target > family type > no children > pension-age (65- yrs) ,['finland']
771,18065049,pension,data owners > experian it > mosaic audiences > mosaic > b08 - pensionati attivi,['italy']
901,19390695,pension,data owners > experian it > mosaic audiences > mosaic > b08 - pensionati attivi,['italy']
900,19389881,pension,data owners > experian it > mosaic audiences > mosaic > i24 - pensionati al mare,['italy']
899,19389872,pension,data owners > experian it > mosaic audiences > mosaic > k31 - operai in eta pensionabile,['italy']
902,19391139,pension,data owners > experian it > mosaic audiences > mosaic > k34 - operai in pensione,['italy']
682,15964108,pension,data owners > experian it > premium audiences > mosaic > b08 - pensionati attivi,['italy']
679,15963690,pension,data owners > experian it > premium audiences > mosaic > i24 - pensionati al mare,['italy']
681,15963945,pension,data owners > experian it > premium audiences > mosaic > k31 - operai in eta pensionabile,['italy']
680,15963784,pension,data owners > experian it > premium audiences > mosaic > k34 - operai in pensione,['italy']
678,15962033,pension,es_havas_santander_planespensiones_appcontextual_dic18 ,['spain']
683,15962016,pension,es_havas_santander_planespensiones_dic18 ,['spain']
684,15962017,pension,es_havas_santander_planespensiones_dic18 ,['spain']
749,15675780,pension,eyeota - dk ndr - 01 online mosaic - (k) the quiet pensioner,['denmark']
703,15676048,pension,eyeota - dk ndr - 04 economy - employment - pensioner ,['denmark']
733,15676046,pension,eyeota - dk ndr - 04 economy - employment - pensioner ,['denmark']
767,17576519,pension,eyeota - se ndr - 18 kantar media tgi se - orvesto lifestyle - lifecycle - single pensioner,['sweden']
476,13722758,pension,gfk > de > financial market services > private pension insurance > 3: high ,['germany']
1863,25641235,pension,gh-nl_gps_xandr_gh_specific_household-work-situation-pensioner_high_audio-outstream_default,['netherlands']
1339,24642956,pension,gh-nl_gps_xandr_gh_specific_household-work-situation-pensioner_high_display_default,['netherlands']
1827,25454028,pension,gh-nl_gps_xandr_gh_specific_household-work-situation-pensioner_high_display_default,['netherlands']
1917,25642229,pension,gh-nl_gps_xandr_gh_specific_household-work-situation-pensioner_high_instream_default,['netherlands']
1864,25641236,pension,gh-nl_gps_xandr_gh_specific_household-work-situation-pensioner_low_audio-outstream_default,['netherlands']
