,id,hit,name,countries
117,24625150, faith,lifestyle > faith > uk & portugal christianity - extended scale ,['portugal']
116,24625040, faith,lifestyle > faith > uk & portugal christianity - extreme confidence ,['portugal']
125,25154017, jew,1916203_wtx_el_paso_johnson_jewelers_500_meters ,['greece']
126,25154405, jew,1916203_wtx_el_paso_johnson_jewelers_tls,['greece']
132,25903218, jew,2426114_mt_missoula__stevens_diamond_jewelers_hlm ,['malta']
134,26005693, jew,2426114_mt_missoula__stevens_diamond_jewelers_hlm_-_rev_3.25 ,['malta']
133,25916750, jew,2426114_mt_missoula__stevens_diamond_jewelers_tls,['malta']
41,12441731, jew,331038a1_wtx_el_paso_johnson_jewelers_tls_aol ,['greece']
39,11404933, jew,331038a_wtx_el_paso_johnson_jewelers_hlm ,['greece']
35,11276958, jew,365824_mt_missoula_adair_jewelers__hlm ,['malta']
36,11276973, jew,382825_mt_missoula_krekeler_jewelers_hlm ,['malta']
37,11276979, jew,382825_mt_missoula_krekeler_jewelers_mopub ,['malta']
28,10653451, jew,70890_wtx_el_paso_johnson_jewelers_aerserv ,['greece']
29,10653452, jew,70890_wtx_el_paso_johnson_jewelers_hlm ,['greece']
30,10653453, jew,70890_wtx_el_paso_johnson_jewelers_mopub ,['greece']
31,10653454, jew,70890_wtx_el_paso_johnson_jewelers_one_by_aol ,['greece']
32,10653455, jew,70890_wtx_el_paso_johnson_jewelers_smaato ,['greece']
128,25425705, jew,adsquare data alliance > be > interests > shopping > fashion > jewellery and watch buyers ,['belgium']
120,13225898, jew,adsquare data alliance > de > interests > style and fashion > jewellery and luxury watch buyers ,['germany']
129,25425708, jew,adsquare data alliance > de > valentines day 2021 audiences > jewelry shoppers ,['germany']
121,13829278, jew,adsquare data alliance > es > interests > style and fashion > jewellery and luxury watch buyers ,['spain']
118,24952309, jew,adsquare data alliance > es > place visits > retail > fashion > jewelry and watches > bijou brigitte ,['spain']
123,24967938, jew,adsquare data alliance > es > place visits > retail > fashion > jewelry and watches > swarovski ,['spain']
124,24967990, jew,adsquare data alliance > es > place visits > retail > fashion > jewelry and watches > tous ,['spain']
119,13227694, jew,adsquare data alliance > fr > interests > style and fashion > jewellery and luxury watch buyers ,['france']
122,13829601, jew,adsquare data alliance > it > interests > style and fashion > jewellery and luxury watch buyers ,['italy']
127,25425704, jew,adsquare data alliance > se > interests > shopping > fashion > jewellery and watch buyers ,['sweden']
