,id,hit,name,countries
22,3476214, porn ,xaxisro_ro_porn ,['romania']
64,9894678,gender,180bytwo > cookie > eu > uk > b2c > demographics > gender > male,['europe']
322,25423919,gender,adsquare data alliance > at > demographics > gender > female ,['austria']
191,13226793,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 18+ ,['germany']
195,13226797,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 18-24 ,['germany']
197,13226771,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 18-34 ,['germany']
202,13226795,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 18-44 ,['germany']
208,13226769,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 18-49 ,['germany']
211,13226800,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 21-34 ,['germany']
215,13226775,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 25+ ,['germany']
219,13226801,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 25-34 ,['germany']
223,13226782,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 25-44 ,['germany']
227,13226780,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 25-49 ,['germany']
232,13226777,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 25-54 ,['germany']
235,13226806,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 35-54 ,['germany']
240,13226805,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 35-64 ,['germany']
243,13226808,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 45-54 ,['germany']
246,13226811,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 55-64 ,['germany']
250,13226813,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > female > female 65+ ,['germany']
257,13226785,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 18+ ,['germany']
261,13226744,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 18-24 ,['germany']
265,13226741,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 18-34 ,['germany']
270,13226786,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 18-44 ,['germany']
273,13226739,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 18-49 ,['germany']
278,13226788,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 21-34 ,['germany']
282,13226746,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 25+ ,['germany']
285,13226758,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 25-34 ,['germany']
289,13226756,gender,adsquare data alliance > de > demographics > age & gender (nielsen dar validated) > male > male 25-44 ,['germany']
