tag,count,company,possible parent
bluekai,132672,oracle,
grapeshot,73575,oracle,
eyeota,54985,dun & bradstreet,
factual,24420,,
exelate,23755,nielsen,
adsquare,15363,,
alikeaudience,14385,,
dstillery,12662,,
skydeo,11965,,
oracle country,10243,oracle,
miq,8771,MiQ,
retargetly,8408,,
xaxis,8388,,GroupM Nexus
experian,8191,,
adsquare data alliance,8038,,
peer39,7964,,
cpg,7960,,
lotame,7817,,
180bytwo,7009,,
rt,6823,,
adstra,6146,,
zipline,5818,,
alliant,5749,,
sharethis,5593,,
v12,5162,,
ncs,5092,,
zeotap,4920,,
claritas,4905,,
sirdata,4775,,
affinity answers,4696,,
formerly alc,4525,,
audiences by oracle,4399,,
infogroup,4289,,
webbula,4197,,
dlx,4138,,
truoptik,4097,,
placeiq,4081,,
proximic agent,4057,,
audiences by skimlinks,3803,,
epsilon,3796,,
in market,3765,,
cross pixel,3638,,
quotient,3338,,
neustar adadvisor,3321,,
us acxiom,3292,,
scanbuy,3227,,
shopcom iri cpg audiences powered by iri proscores,3214,,
comscore,3214,,
mobilewalla,3197,,
make,3152,,
town square ignite client,3141,,
datalogix,2982,,
tailtarget,2966,,
cuebiq,2958,,
odc,2940,,
iri proscores cpg audiences,2900,,
tls,2867,,
adadvisor by neustar,2831,,
stirista,2813,,
nielsen buyer insights,2792,,
shoppinggraph,2767,,
trusignal,2761,,
gh,2748,,
startapp,2742,,
oracle bluekai,2718,,
acquireweb,2684,,
nordic data resources,2661,,
clickagy,2627,,
global sharethis,2613,,
us experian,2518,,
navegg,2500,,
pacific data partners,2463,,
xandr audiences,2461,,
33across audienceid,2424,,
media source,2399,,
ninthdecimal,2376,,
nielsen cpg,2362,,
op sourced,2334,,
twine,2326,,
reveal mobile,2325,,
exelate intent,2291,,
fidall,2122,,
pushspring,2106,,
au,2032,,
audigent,1991,,
exelate demographic,1980,,
mosaic,1971,,
kantar shopcom,1957,,
sea sharethis,1951,,
nielsen retail,1926,,
fka infogroup,1899,,
analyticsiq,1871,,
infogroup media solutions,1859,,
netwise,1821,,
bombora,1807,,
news america marketing,1780,,
owneriq,1777,,
scarborough,1773,,
makes,1764,,
brand propensities,1763,,
arts & entertainment,1738,,
nielsen uk,1736,,
television,1728,,
air travel,1727,,
food,1724,,
global,1722,,
autos,1718,,
it,1717,,
music,1708,,
ctv,1692,,
sic4,1689,,
beverages,1683,,
voters by congressional district,1673,,
dun & bradstreet,1670,,
restaurant,1658,,
transunion,1658,,
transactional,1655,,
international_eu,1648,,
nvg,1638,,
destinations,1631,,
equifax,1631,,
media,1622,,
real estate,1614,,
dv,1610,,
demo,1607,,
doubleverify,1607,,
products,1598,,
dining,1586,,
bridge b2b,1583,,
omnidigital by meritdirect,1572,,
lifesight,1572,,
ip based,1571,,
extreme confidence,1550,,
e,1548,,
ameribase digital,1545,,
games,1542,,
company,1537,,
amerilink,1529,,
ott,1517,,
auto+,1516,,
cross device,1514,,
movies,1513,,
2019,1510,,
home & garden,1506,,
private,1502,,
dataxpand,1498,,
behavioral,1495,,
kbm group,1491,,
specialists marketing services,1488,,
food and drink,1486,,
behavioral audience,1481,,
visualdna,1479,,
state,1473,,
data mentors/relevate,1465,,
congressional districts,1464,,
truedata japan,1464,,
congressional district,1463,,
3,1457,,
based audiences,1453,,
townsquare,1446,,
br,1443,,
nielsen fr,1423,,
purchasing power,1419,,
precise,1418,,
decision makers,1415,,
iri,1412,,
uk experian,1410,,
type,1406,,
locations,1400,,
loci mobile audiences,1394,,
device,1378,,
onaudience,1374,,
truedata,1373,,
north america,1361,,
makes and models,1359,,
lbdigital,1359,,
sms,1356,,
fla / fair lending friendly,1353,,
services,1347,,
video games,1338,,
us 33across,1337,,
adadvisor consumer audiences,1334,,
bridge,1313,,
health relevance model,1307,,
consumer electronics,1305,,
based,1303,,
asia,1300,,
data owners,1297,,
food & drink,1291,,
lifestyle and interests,1291,,
medium,1284,,
datonics,1276,,
sic,1273,,
roqad,1268,,
ford,1266,,
fashion,1262,,
snacks,1259,,
oracle dlx,1257,,
family,1256,,
us fyllo,1255,,
sweden,1251,,
non,1246,,
network,1243,,
au experian,1237,,
interest propensities,1235,,
from whotoo,1230,,
international,1225,,
compound,1220,,
tiffany,1220,,
self,1219,,
acxiom,1217,,
merkle,1214,,
business and services,1214,,
"clickagy, a zoominfo company",1213,,
alc,1204,,
mx,1203,,
healthcare,1201,,
inc,1198,,
"infogroup, inc",1196,,
purchases,1196,,
orange,1194,,
clothing and accessories,1188,,
ibotta,1187,,
chevrolet,1184,,
z,1184,,
r,1183,,
genres,1175,,
behavior,1172,,
visa,1170,,
m,1168,,
us adstra,1168,,
and,1162,,
us kantar,1158,,
18,1157,,
pets,1154,,
purchase,1142,,
firmographics,1140,,
25,1137,,
low,1136,,
54,1134,,
automobile owners,1133,,
dataline,1130,,
us peoplefinders daas,1130,,
auto owners,1129,,
us plunge digital,1128,,
toyota,1123,,
business & professional,1122,,
us iri,1122,,
